title,year,rating
Design for Living,1933,7.4
Dinner at Eight,1933,7.5
Duck Soup,1933,7.7
Footlight Parade,1933,7.5
Gold Diggers of 1933,1933,7.7
"Invisible Man, The",1933,7.6
King Kong,1933,7.9
Lady Killer,1933,7.0
Lady for a Day,1933,7.4
Little Women,1933,7.2
"Private Life of Henry VIII, The",1933,7.0
Queen Christina,1933,7.5
Sons of the Desert,1933,7.5
"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse)",1933,7.9
"Atalante, L'",1934,7.7
Bright Eyes,1934,7.2
"Gay Divorcee, The",1934,7.4
It Happened One Night,1934,8.1
It's a Gift,1934,7.1
Man of Aran,1934,7.2
Manhattan Melodrama,1934,7.1
Of Human Bondage,1934,7.0
"Scarlet Pimpernel, The",1934,7.3
Tarzan and His Mate,1934,7.2
"Thin Man, The",1934,7.9
Triumph of the Will (Triumph des Willens),1934,7.1
Twentieth Century,1934,7.3
"39 Steps, The",1935,7.6
Anna Karenina,1935,7.0
"Bride of Frankenstein, The (Bride of Frankenstein)",1935,7.8
Captain Blood,1935,7.7
Carnival in Flanders (La kermesse héroïque),1935,7.4
G Men,1935,7.1
"Informer, The",1935,7.4
"Lives of a Bengal Lancer, The",1935,7.0
Mad Love,1935,7.2
Man on the Flying Trapeze,1935,7.5
"Misérables, Les",1935,7.6
Mutiny on the Bounty,1935,7.6
"Night at the Opera, A",1935,7.8
"Personal History, Adventures, Experience, & Observation of David Copperfield the Younger, The (a.k.a. David Copperfield)",1935,7.3
Roberta,1935,7.0
Ruggles of Red Gap,1935,7.6
"Tale of Two Cities, A",1935,7.8
Top Hat,1935,7.7
"Whole Town's Talking, The (Passport to Fame)",1935,7.3
After the Thin Man,1936,7.6
Bullets or Ballots,1936,7.0
Camille,1936,7.3
"Charge of the Light Brigade, The",1936,7.0
Dodsworth,1936,7.7
Follow the Fleet,1936,7.1
Fury,1936,7.8
Libeled Lady,1936,7.8
Little Lord Fauntleroy,1936,7.3
Modern Times,1936,8.5
Mr. Deeds Goes to Town,1936,7.8
My Man Godfrey,1936,7.9
"Petrified Forest, The",1936,7.5
Sabotage,1936,7.0
San Francisco,1936,7.2
Show Boat,1936,7.4
Theodora Goes Wild,1936,7.1
These Three,1936,7.4
"Walking Dead, The",1936,8.1
Wife vs. Secretary,1936,7.0
"Awful Truth, The",1937,7.7
Captains Courageous,1937,7.9
Confession,1937,7.3
"Day at the Races, A",1937,7.5
Dead End,1937,7.2
Easy Living,1937,7.5
"Good Earth, The",1937,7.5
Grand Illusion (La grande illusion),1937,8.1
Heidi,1937,7.2
History Is Made at Night,1937,7.3
"Life of Emile Zola, The",1937,7.2
Lost Horizon,1937,7.6
Make Way for Tomorrow,1937,8.2
Marked Woman,1937,7.1
Night Must Fall,1937,7.2
"Prince and the Pauper, The",1937,7.2
"Prisoner of Zenda, The",1937,7.6
Pépé le Moko,1937,7.7
Shall We Dance,1937,7.4
Snow White and the Seven Dwarfs,1937,7.6
Stage Door,1937,7.7
"Star Is Born, A",1937,7.3
Stella Dallas,1937,7.4
They Won't Forget,1937,7.2
Topper,1937,7.2
Way Out West,1937,7.6
"Adventures of Robin Hood, The",1938,7.9
Alexander Nevsky (Aleksandr Nevskiy),1938,7.5
Angels with Dirty Faces,1938,7.9
Boys Town,1938,7.2
Bringing Up Baby,1938,7.8
"Bête humaine, La",1938,7.5
Carefree,1938,7.0
"Christmas Carol, A",1938,7.5
"Dawn Patrol, The",1938,7.5
Holiday,1938,7.7
Jezebel,1938,7.4
"Lady Vanishes, The",1938,7.7
Merrily We Live,1938,7.3
Port of Shadows (Quai des brumes),1938,7.7
Pygmalion,1938,7.7
Reefer Madness (a.k.a. Tell Your Children),1938,7.6
"Slight Case of Murder, A",1938,7.0
Three Comrades,1938,7.1
"Woman's Face, A (En kvinnas ansikte)",1938,7.0
You Can't Take It with You,1938,7.8
"Adventures of Sherlock Holmes, The",1939,7.3
Another Thin Man,1939,7.3
Beau Geste,1939,7.5
Dark Victory,1939,7.4
Destry Rides Again,1939,7.6
Dodge City,1939,7.1
Drums Along the Mohawk,1939,7.0
"Four Feathers, The",1939,7.4
Gone with the Wind,1939,8.2
"Goodbye, Mr. Chips",1939,7.9
Gunga Din,1939,7.2
"Hound of the Baskervilles, The",1939,7.4
"Hunchback of Notre Dame, The",1939,7.8
"Jour se lève, Le (Daybreak)",1939,7.7
Love Affair,1939,7.3
"Man in the Iron Mask, The",1939,7.0
Midnight,1939,7.8
Mr. Smith Goes to Washington,1939,8.1
Ninotchka,1939,7.8
Of Mice and Men,1939,7.8
On Borrowed Time,1939,7.7
Only Angels Have Wings,1939,7.6
"Roaring Twenties, The",1939,7.9
"Rules of the Game, The (La règle du jeu)",1939,7.9
Stagecoach,1939,7.8
Stanley and Livingstone,1939,7.0
"Wizard of Oz, The",1939,8.1
"Women, The",1939,7.7
Wuthering Heights,1939,7.5
Young Mr. Lincoln,1939,7.5
Abe Lincoln in Illinois,1940,7.3
"All This, and Heaven Too",1940,7.4
"Bank Dick, The",1940,7.1
Boom Town,1940,7.0
Broadway Melody of 1940,1940,7.3
Christmas in July,1940,7.4
"Chump at Oxford, A",1940,7.2
Fantasia,1940,7.7
Foreign Correspondent,1940,7.4
Gaslight,1940,7.3
"Grapes of Wrath, The",1940,8.1
"Great Dictator, The",1940,8.4
"Great McGinty, The",1940,7.3
His Girl Friday,1940,7.8
I Love You Again,1940,7.4
"Letter, The",1940,7.5
"Mark of Zorro, The",1940,7.5
"Mortal Storm, The",1940,7.7
My Favorite Wife,1940,7.3
Northwest Passage,1940,7.0
"Philadelphia Story, The",1940,7.9
Pinocchio,1940,7.5
Pride and Prejudice,1940,7.8
Rebecca,1940,8.1
"Sea Hawk, The",1940,7.6
"Shop Around the Corner, The",1940,8.0
They Drive by Night,1940,7.2
"Thief of Bagdad, The",1940,7.4
Waterloo Bridge,1940,7.7
"Westerner, The",1940,7.3
"47 Ronin, The (Genroku Chûshingura)",1941,7.2
49th Parallel,1941,7.3
All Through the Night,1941,7.1
Ball of Fire,1941,7.7
Citizen Kane,1941,8.3
Dumbo,1941,7.2
"Great Lie, The",1941,7.1
Here Comes Mr. Jordan,1941,7.5
High Sierra,1941,7.5
How Green Was My Valley,1941,7.7
"Little Foxes, The",1941,7.9
Love Crazy,1941,7.4
"Maltese Falcon, The",1941,8.0
Man Hunt,1941,7.2
Meet John Doe,1941,7.6
Never Give a Sucker an Even Break,1941,7.0
Night Train to Munich,1941,7.2
Penny Serenade,1941,7.0
Remember the Day,1941,7.2
"Sea Wolf, The",1941,7.5
Sergeant York,1941,7.7
Shadow of the Thin Man,1941,7.2
Sullivan's Travels,1941,7.9
Suspicion,1941,7.3
"Wolf Man, The",1941,7.2
Bambi,1942,7.3
Casablanca,1942,8.5
Cat People,1942,7.2
For Me and My Gal,1942,7.0
"Glass Key, The",1942,7.0
Holiday Inn,1942,7.3
I Married a Witch,1942,7.1
In This Our Life,1942,7.3
Johnny Eager,1942,7.0
"Magnificent Ambersons, The",1942,7.6
"Man Who Came to Dinner, The",1942,7.5
Mrs. Miniver,1942,7.6
"Murderer Lives at Number 21, The (L'assassin habite... au 21)",1942,7.3
My Favorite Blonde,1942,7.0
"Now, Voyager",1942,7.9
"Palm Beach Story, The",1942,7.5
"Pride of the Yankees, The",1942,7.6
Random Harvest,1942,7.9
Road to Morocco,1942,7.0
Saboteur,1942,7.1
"Talk of the Town, The",1942,7.5
This Gun for Hire,1942,7.4
To Be or Not to Be,1942,8.1
Went the Day Well?,1942,7.5
Woman of the Year,1942,7.1
Yankee Doodle Dandy,1942,7.6
You Were Never Lovelier,1942,7.2
Action in the North Atlantic,1943,7.0
Cabin in the Sky,1943,7.1
Day of Wrath (Vredens dag),1943,8.1
Destination Tokyo,1943,7.1
Five Graves to Cairo,1943,7.3
Hangmen Also Die,1943,7.4
Heaven Can Wait,1943,7.3
I Walked with a Zombie,1943,7.0
Lassie Come Home,1943,7.1
"Life and Death of Colonel Blimp, The",1943,8.0
"More the Merrier, The",1943,7.6
Mr. Lucky,1943,7.1
Ossessione,1943,7.6
Sahara,1943,7.5
Shadow of a Doubt,1943,7.8
"Song of Bernadette, The",1943,7.6
Watch on the Rhine,1943,7.1
Arsenic and Old Lace,1944,7.9
"Canterbury Tale, A",1944,7.3
Double Indemnity,1944,8.3
Gaslight,1944,7.8
Going My Way,1944,7.0
Hail the Conquering Hero,1944,7.6
Jane Eyre,1944,7.3
Laura,1944,7.9
Lifeboat,1944,7.6
"Mask of Dimitrios, The",1944,7.2
Meet Me in St. Louis,1944,7.5
Mr. Skeffington,1944,7.6
"Murder, My Sweet",1944,7.5
National Velvet,1944,7.3
"Return of the Vampire, The",1944,9.0
"Seventh Cross, The",1944,7.4
Since You Went Away,1944,7.5
Thirty Seconds Over Tokyo,1944,7.2
To Have and Have Not,1944,7.8
"Woman in the Window, The",1944,7.6
Anchors Aweigh,1945,7.0
And Then There Were None,1945,7.4
"Bells of St. Mary's, The",1945,7.2
Children of Paradise (Les enfants du paradis),1945,8.3
"Clock, The",1945,7.3
Conflict,1945,7.1
Detour,1945,7.3
Fallen Angel,1945,7.0
I Know Where I'm Going!,1945,7.4
Leave Her to Heaven,1945,7.6
"Lost Weekend, The",1945,7.9
Mildred Pierce,1945,7.9
My Name Is Julia Ross,1945,7.0
"Objective, Burma!",1945,7.3
"Picture of Dorian Gray, The",1945,7.5
Pride of the Marines,1945,7.3
Scarlet Street,1945,7.7
Spellbound,1945,7.5
Story of G.I. Joe,1945,7.2
They Were Expendable,1945,7.2
"Thin Man Goes Home, The",1945,7.3
"Tree Grows in Brooklyn, A",1945,8.0
Vacation from Marriage,1945,7.1
Beauty and the Beast (La belle et la bête),1946,7.9
"Best Years of Our Lives, The",1946,8.1
"Big Sleep, The",1946,7.9
"Blue Dahlia, The",1946,7.1
Brief Encounter,1946,8.0
Cluny Brown,1946,7.4
"Dark Corner, The",1946,7.1
Deception,1946,7.0
Gilda,1946,7.6
Great Expectations,1946,7.8
Green for Danger,1946,7.4
Humoresque,1946,7.3
I See a Dark Stranger,1946,7.0
It's a Wonderful Life,1946,8.6
"Killers, The",1946,7.7
"Matter of Life and Death, A (Stairway to Heaven)",1946,8.0
My Darling Clementine,1946,7.7
Notorious,1946,7.9
Paisan (Paisà),1946,7.6
"Postman Always Rings Twice, The",1946,7.4
Road to Utopia,1946,7.1
"Spiral Staircase, The",1946,7.3
"Strange Love of Martha Ivers, The",1946,7.4
"Stranger, The",1946,7.3
Three Strangers,1946,7.0
"Verdict, The",1946,7.2
"Yearling, The",1946,7.2
"Bachelor and the Bobby-Soxer, The",1947,7.2
"Bishop's Wife, The",1947,7.6
Black Narcissus,1947,7.7
Body and Soul,1947,7.6
Boomerang,1947,7.2
Born to Kill,1947,7.2
Brighton Rock,1947,7.3
Crossfire,1947,7.3
Dark Passage,1947,7.5
Dead Reckoning,1947,7.7
"Farmer's Daughter, The",1947,7.2
Gentleman's Agreement,1947,7.2
"Ghost and Mrs. Muir, The",1947,7.8
Kiss of Death,1947,7.4
"Lady from Shanghai, The",1947,7.5
Life with Father,1947,7.1
Miracle on 34th Street,1947,7.9
Nightmare Alley,1947,7.7
Odd Man Out,1947,7.6
Out of the Past,1947,8.0
Quai des Orfèvres (Jenny Lamour),1947,7.7
"Unsuspected, The",1947,7.2
Abbott and Costello Meet Frankenstein,1948,7.3
Act of Violence,1948,7.5
Adventures of Don Juan,1948,7.0
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),1948,8.3
"Big Clock, The",1948,7.6
Call Northside 777,1948,7.4
Easter Parade,1948,7.3
"Fallen Idol, The",1948,7.6
"Foreign Affair, A",1948,7.3
Fort Apache,1948,7.4
Hamlet,1948,7.6
He Walked by Night,1948,7.0
I Remember Mama,1948,7.9
Johnny Belinda,1948,7.7
Key Largo,1948,7.7
Letter from an Unknown Woman,1948,7.9
Mr. Blandings Builds His Dream House,1948,7.2
"Naked City, The",1948,7.5
Oliver Twist,1948,7.8
Pitfall,1948,7.1
Raw Deal,1948,7.2
Red River,1948,7.8
"Red Shoes, The",1948,8.1
Rope,1948,7.9
Sitting Pretty,1948,7.4
"Sorry, Wrong Number",1948,7.3
State of the Union,1948,7.2
"Street with No Name, The",1948,7.0
"Treasure of the Sierra Madre, The",1948,8.2
Unfaithfully Yours,1948,7.5
Adam's Rib,1949,7.4
All the King's Men,1949,7.4
"Barkleys of Broadway, The",1949,7.0
Battleground,1949,7.4
Champion,1949,7.3
Colorado Territory,1949,7.2
Come to the Stable,1949,7.1
Criss Cross,1949,7.4
Flamingo Road,1949,7.1
"Heiress, The",1949,8.1
Holiday (Jour de fête),1949,7.2
I Was a Male War Bride,1949,7.0
Impact,1949,7.0
Kind Hearts and Coronets,1949,8.0
"Letter to Three Wives, A",1949,7.7
Little Women,1949,7.2
Madame Bovary,1949,7.0
On the Town,1949,7.3
"Reckless Moment, The",1949,7.1
Sands of Iwo Jima,1949,7.0
"Set-Up, The",1949,7.8
She Wore a Yellow Ribbon,1949,7.2
"Third Man, The",1949,8.1
Twelve O'Clock High,1949,7.7
White Heat,1949,8.1
"Window, The",1949,7.4
All About Eve,1950,8.2
"Asphalt Jungle, The",1950,7.8
Born Yesterday,1950,7.5
"Breaking Point, The",1950,7.5
Broken Arrow,1950,7.2
Cheaper by the Dozen,1950,7.0
Cinderella,1950,7.3
Cyrano de Bergerac,1950,7.4
Father of the Bride,1950,7.1
"Gunfighter, The",1950,7.7
Harvey,1950,7.9
In a Lonely Place,1950,7.9
Kon-Tiki,1950,7.9
"Men, The",1950,7.1
Mystery Street,1950,7.2
Night and the City,1950,7.9
No Way Out,1950,7.4
Orpheus (Orphée),1950,7.9
Panic in the Streets,1950,7.2
Rashomon (Rashômon),1950,8.2
Rio Grande,1950,7.0
Stage Fright,1950,7.0
Sunset Blvd. (a.k.a. Sunset Boulevard),1950,8.4
Where the Sidewalk Ends,1950,7.6
Winchester '73,1950,7.6
"Young and the Damned, The (Olvidados, Los)",1950,8.2
"Ace in the Hole (Big Carnival, The)",1951,8.1
"African Queen, The",1951,7.7
Alice in Wonderland,1951,7.3
"American in Paris, An",1951,7.1
Captain Horatio Hornblower R.N.,1951,7.3
"Day the Earth Stood Still, The",1951,7.7
Detective Story,1951,7.5
"Enforcer, The",1951,7.3
His Kind of Woman,1951,7.0
"Lavender Hill Mob, The",1951,7.5
"Man in the White Suit, The",1951,7.3
"Mob, The",1951,7.5
People Will Talk,1951,7.3
"Place in the Sun, A",1951,7.7
"Prowler, The",1951,7.2
Quo Vadis,1951,7.1
"Red Badge of Courage, The",1951,7.1
"River, The",1951,7.4
Strangers on a Train,1951,7.9
"Streetcar Named Desire, A",1951,7.9
"Tall Target, The",1951,7.2
"Thing from Another World, The",1951,7.1
Angel Face,1952,7.2
"Bad and the Beautiful, The",1952,7.8
Bend of the River,1952,7.2
Carrie,1952,7.3
Clash by Night,1952,7.0
"Crimson Pirate, The",1952,7.1
Deadline - U.S.A.,1952,7.2
High Noon,1952,8.0
Ikiru,1952,8.3
Kansas City Confidential,1952,7.3
"Life of Oharu, The (Saikaku ichidai onna)",1952,8.1
Limelight,1952,8.0
Moulin Rouge,1952,7.0
"Narrow Margin, The",1952,7.6
On Dangerous Ground,1952,7.2
"Othello (Tragedy of Othello: The Moor of Venice, The)",1952,7.5
"Quiet Man, The",1952,7.7
Scaramouche,1952,7.5
Singin' in the Rain,1952,8.3
Sudden Fear,1952,7.5
The Importance of Being Earnest,1952,7.4
Umberto D.,1952,8.2
Viva Zapata!,1952,7.3
"Band Wagon, The",1953,7.4
"Big Heat, The",1953,7.9
By the Light of the Silvery Moon,1953,7.0
Calamity Jane,1953,7.2
From Here to Eternity,1953,7.6
Genevieve,1953,7.1
Gentlemen Prefer Blondes,1953,7.1
Hondo,1953,7.0
House of Wax,1953,7.0
I Confess,1953,7.2
Julius Caesar,1953,7.2
Kiss Me Kate,1953,7.0
"Man Between, The",1953,7.0
"Naked Spur, The",1953,7.3
Niagara,1953,7.0
Peter Pan,1953,7.3
Pickup on South Street,1953,7.6
Roman Holiday,1953,8.0
Shane,1953,7.6
Stalag 17,1953,8.0
Titanic,1953,7.0
Tokyo Story (Tôkyô monogatari),1953,8.1
Ugetsu (Ugetsu monogatari),1953,8.2
"Wages of Fear, The (Salaire de la peur, Le)",1953,8.1
"War of the Worlds, The",1953,7.0
"20,000 Leagues Under the Sea",1954,7.2
Animal Farm,1954,7.2
"Caine Mutiny, The",1954,7.7
"Country Girl, The",1954,7.2
Dial M for Murder,1954,8.2
Executive Suite,1954,7.4
"Far Country, The",1954,7.1
Hobson's Choice,1954,7.7
Johnny Guitar,1954,7.6
Magnificent Obsession,1954,7.0
On the Waterfront,1954,8.1
Rear Window,1954,8.5
Sabrina,1954,7.6
Salt of the Earth,1954,7.4
Samurai I: Musashi Miyamoto (Miyamoto Musashi),1954,7.4
Seven Brides for Seven Brothers,1954,7.3
Seven Samurai (Shichinin no samurai),1954,8.6
"Star Is Born, A",1954,7.5
"Strada, La",1954,8.0
Them!,1954,7.2
Vera Cruz,1954,7.0
White Christmas,1954,7.6
All That Heaven Allows,1955,7.6
Bad Day at Black Rock,1955,7.7
"Big Combo, The",1955,7.3
Blackboard Jungle,1955,7.4
Bob le Flambeur,1955,7.6
Confidential Report,1955,7.1
"Dam Busters, The",1955,7.4
"Desperate Hours, The",1955,7.5
Diabolique (Les diaboliques),1955,8.1
East of Eden,1955,7.8
Guys and Dolls,1955,7.1
I Live in Fear (Ikimono no kiroku),1955,7.3
Kiss Me Deadly,1955,7.5
Lady and the Tramp,1955,7.3
"Ladykillers, The",1955,7.6
Lola Montès,1955,7.2
"Long Gray Line, The",1955,7.2
"Man from Laramie, The",1955,7.3
"Man with the Golden Arm, The",1955,7.3
Marty,1955,7.7
Mister Roberts,1955,7.6
"Night of the Hunter, The",1955,8.0
Oklahoma!,1955,7.0
Picnic,1955,7.0
Rebel Without a Cause,1955,7.6
Richard III,1955,7.4
Rififi (Du rififi chez les hommes),1955,8.1
"Seven Year Itch, The",1955,7.1
Smiles of a Summer Night (Sommarnattens leende),1955,7.7
Song of the Little Road (Pather Panchali),1955,8.2
Summertime,1955,7.1
To Catch a Thief,1955,7.4
"Trouble with Harry, The",1955,7.0
"Unknown Soldier, The (Tuntematon sotilas)",1955,8.0
We're No Angels,1955,7.4
Anastasia,1956,7.0
Attack!,1956,7.4
"Bad Seed, The",1956,7.4
"Catered Affair, The",1956,7.4
"Court Jester, The",1956,7.8
Forbidden Planet,1956,7.5
Friendly Persuasion,1956,7.3
Giant,1956,7.6
"Harder They Fall, The",1956,7.5
Invasion of the Body Snatchers,1956,7.7
"Killing, The",1956,7.9
"King and I, The",1956,7.4
Lust for Life,1956,7.3
"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",1956,8.2
"Man Who Knew Too Much, The",1956,7.4
"Man Who Never Was, The",1956,7.4
"Man in the Gray Flannel Suit, The",1956,7.1
Moby Dick,1956,7.3
"Red Balloon, The (Ballon rouge, Le)",1956,8.1
"Searchers, The",1956,7.8
"Solid Gold Cadillac, The",1956,7.5
Somebody Up There Likes Me,1956,7.5
"Ten Commandments, The",1956,7.9
There's Always Tomorrow,1956,7.4
Written on the Wind,1956,7.4
"Wrong Man, The",1956,7.4
12 Angry Men,1957,9.0
3:10 to Yuma,1957,7.6
"Affair to Remember, An",1957,7.4
"Bridge on the River Kwai, The",1957,8.1
"Cranes Are Flying, The (Letyat zhuravli)",1957,8.3
"Curse of Frankenstein, The",1957,7.0
Curse of the Demon (Night of the Demon),1957,7.4
Edge of the City,1957,7.2
"Enemy Below, The",1957,7.4
"Face in the Crowd, A",1957,8.2
Funny Face,1957,7.0
Gunfight at the O.K. Corral,1957,7.1
"Heaven Knows, Mr. Allison",1957,7.3
"Incredible Shrinking Man, The",1957,7.6
"King in New York, A",1957,7.0
Love in the Afternoon,1957,7.1
"Lower Depths, The (Donzoko)",1957,7.2
"Nights of Cabiria (Notti di Cabiria, Le)",1957,8.1
Old Yeller,1957,7.2
Paths of Glory,1957,8.4
Peyton Place,1957,7.2
Sayonara,1957,7.0
"Seventh Seal, The (Sjunde inseglet, Det)",1957,8.1
Sweet Smell of Success,1957,8.0
"Three Faces of Eve, The",1957,7.2
Throne of Blood (Kumonosu jô),1957,8.0
"Tin Star, The",1957,7.3
"Unvanquished, The (Aparajito)",1957,8.2
Witness for the Prosecution,1957,8.4
"7th Voyage of Sinbad, The",1958,7.0
Ashes and Diamonds (Popiól i diament),1958,7.7
Auntie Mame,1958,7.9
"Ballad of Narayama, The (Narayama Bushiko)",1958,7.8
"Beau Serge, Le",1958,7.1
"Big Country, The",1958,7.9
Cat on a Hot Tin Roof,1958,7.9
Damn Yankees!,1958,7.0
"Defiant Ones, The",1958,7.6
"Fly, The",1958,7.1
"Hidden Fortress, The (Kakushi-toride no san-akunin)",1958,8.1
Horror of Dracula (Dracula),1958,7.2
I Want to Live!,1958,7.5
"Inn of the Sixth Happiness, The",1958,7.2
King Creole,1958,7.0
"Last Hurrah, The",1958,7.3
"Lineup, The",1958,7.3
"Long, Hot Summer, The",1958,7.3
Look Back in Anger,1958,7.0
Man of the West,1958,7.1
Mon Oncle (My Uncle),1958,7.7
"Night to Remember, A",1958,7.9
Run Silent Run Deep,1958,7.3
Separate Tables,1958,7.4
"Tale of Two Cities, A",1958,7.1
Teacher's Pet,1958,7.1
Touch of Evil,1958,8.0
Vertigo,1958,8.3
"Vikings, The",1958,7.0
"Young Lions, The",1958,7.1
Anatomy of a Murder,1959,8.0
Ballad of a Soldier (Ballada o soldate),1959,8.2
Ben-Hur,1959,8.1
"Cousins, The (Cousins, Les)",1959,7.2
Darby O'Gill and the Little People,1959,7.1
"Fugitive Kind, The",1959,7.1
Hiroshima Mon Amour,1959,7.8
"Horse Soldiers, The",1959,7.1
Imitation of Life,1959,7.8
Journey to the Center of the Earth,1959,7.0
"Journey, The",1959,7.0
Last Train from Gun Hill,1959,7.3
North by Northwest,1959,8.3
"Nun's Story, The",1959,7.5
Odds Against Tomorrow,1959,7.4
On the Beach,1959,7.1
Operation Petticoat,1959,7.2
Our Man in Havana,1959,7.2
Pickpocket,1959,7.6
Pillow Talk,1959,7.4
Pork Chop Hill,1959,7.0
Ride Lonesome,1959,7.1
Rio Bravo,1959,8.0
Room at the Top,1959,7.5
Shake Hands with the Devil,1959,7.0
Sleeping Beauty,1959,7.2
Some Like It Hot,1959,8.2
"Suddenly, Last Summer",1959,7.5
The Diary of Anne Frank,1959,7.4
Warlock,1959,7.1
"World of Apu, The (Apur Sansar)",1959,8.4
"Young Philadelphians, The",1959,7.4
"Apartment, The",1960,8.3
"Avventura, L' (Adventure, The)",1960,7.2
Breathless (À bout de souffle),1960,7.7
"Classe Tous Risques (Big Risk, The)",1960,7.5
"Dolce Vita, La",1960,8.0
Elmer Gantry,1960,7.7
"Entertainer, The",1960,7.1
Inherit the Wind,1960,8.1
"Magnificent Seven, The",1960,7.7
Never on Sunday (Pote tin Kyriaki),1960,7.3
Peeping Tom,1960,7.6
Peter Pan,1960,7.4
Pollyanna,1960,7.4
Psycho,1960,8.5
Rocco and His Brothers (Rocco e i suoi fratelli),1960,8.2
Saturday Night and Sunday Morning,1960,7.5
School For Scoundrels,1960,7.3
Sergeant Rutledge,1960,7.4
Sons and Lovers,1960,7.1
Spartacus,1960,7.9
Swiss Family Robinson,1960,7.1
"Time Machine, The",1960,7.5
"Trials of Oscar Wilde, The",1960,7.1
Village of the Damned,1960,7.3
"Virgin Spring, The (Jungfrukällan)",1960,8.0
101 Dalmatians (One Hundred and One Dalmatians),1961,7.3
Accattone,1961,7.6
Breakfast at Tiffany's,1961,7.6
"Children's Hour, The",1961,7.8
Divorce - Italian Style (Divorzio all'italiana),1961,7.9
El Cid,1961,7.2
"Guns of Navarone, The",1961,7.5
"Hustler, The",1961,8.0
"Innocents, The",1961,7.8
Judgment at Nuremberg,1961,8.3
Jules and Jim (Jules et Jim),1961,7.7
King of Kings,1961,7.0
Last Year at Marienbad (L'Année dernière à Marienbad),1961,7.6
Lola,1961,7.5
Lover Come Back,1961,7.1
"Léon Morin, Priest (Léon Morin, prêtre)",1961,7.5
"Misfits, The",1961,7.2
"One, Two, Three",1961,7.9
One-Eyed Jacks,1961,7.1
"Parent Trap, The",1961,7.2
Pit and the Pendulum,1961,7.0
Pocketful of Miracles,1961,7.1
"Posto, Il",1961,7.9
"Raisin in the Sun, A",1961,8.0
Splendor in the Grass,1961,7.7
"Taste of Honey, A",1961,7.4
Town Without Pity,1961,7.2
Victim,1961,7.7
Viridiana,1961,8.1
West Side Story,1961,7.6
"Woman Is a Woman, A (femme est une femme, Une)",1961,7.3
Yojimbo,1961,8.2
